id,groupe,type_activite,salle_id,heure_debut,heure_fin,jour_semaine
79,ITT1B-G3,tp,10,2026-05-03 07:00:00,2026-05-03 09:00:00,6
80,ITT2A-G1,tp,5,2026-05-03 15:00:00,2026-05-03 17:00:00,6
81,ITT2A-G1,tp,6,2026-05-03 13:00:00,2026-05-03 15:00:00,6
82,ITT2A-G2,tp,2,2026-05-03 13:00:00,2026-05-03 15:00:00,6
83,ITT2A-G4,tp,15,2026-05-03 09:00:00,2026-05-03 11:00:00,6
84,ITT2B-G2,tp,12,2026-05-03 09:00:00,2026-05-03 11:00:00,6
85,ITT2B-G3,tp,13,2026-05-03 07:00:00,2026-05-03 09:00:00,6
86,ITT2B-G4,tp,6,2026-05-03 07:00:00,2026-05-03 09:00:00,6
87,ITT1A,cours,1,2026-05-04 13:00:00,2026-05-04 15:00:00,0
88,ITT1A,cours,1,2026-05-04 07:00:00,2026-05-04 09:00:00,0
89,ITT1A,cours,13,2026-05-04 11:00:00,2026-05-04 13:00:00,0
90,ITT1B,cours,1,2026-05-04 17:00:00,2026-05-04 19:00:00,0
91,ITT1B,cours,13,2026-05-04 11:00:00,2026-05-04 13:00:00,0
92,ITT2A,cours,5,2026-05-04 11:00:00,2026-05-04 13:00:00,0
93,ITT2B,cours,14,2026-05-04 15:00:00,2026-05-04 17:00:00,0
94,ITT2B,cours,1,2026-05-04 17:00:00,2026-05-04 19:00:00,0
95,ITT2B,cours,3,2026-05-04 09:00:00,2026-05-04 11:00:00,0
96,ITT3RC,cours,1,2026-05-04 15:00:00,2026-05-04 17:00:00,0
97,ITT3RC,cours,4,2026-05-04 09:00:00,2026-05-04 11:00:00,0
98,ITT3RC,cours,1,2026-05-04 17:00:00,2026-05-04 19:00:00,0
99,ITT3IR,cours,14,2026-05-04 15:00:00,2026-05-04 17:00:00,0
100,ITT3IR,cours,1,2026-05-04 17:00:00,2026-05-04 19:00:00,0
101,IPT1,cours,1,2026-05-04 17:00:00,2026-05-04 19:00:00,0
102,IPT1,cours,1,2026-05-04 11:00:00,2026-05-04 13:00:00,0
103,IPT1,cours,1,2026-05-04 15:00:00,2026-05-04 17:00:00,0
104,IPT2,cours,1,2026-05-04 15:00:00,2026-05-04 17:00:00,0
105,IPT2,cours,1,2026-05-04 11:00:00,2026-05-04 13:00:00,0
106,IPT2,cours,4,2026-05-04 09:00:00,2026-05-04 11:00:00,0
107,ITT1A-G3,tp,15,2026-05-04 07:00:00,2026-05-04 09:00:00,0
108,ITT1A-G3,tp,11,2026-05-04 09:00:00,2026-05-04 11:00:00,0
109,ITT1A-G4,tp,14,2026-05-04 07:00:00,2026-05-04 09:00:00,0
110,ITT1A-G4,tp,14,2026-05-04 17:00:00,2026-05-04 19:00:00,0
111,ITT1B-G1,tp,4,2026-05-04 17:00:00,2026-05-04 19:00:00,0
112,ITT1B-G1,tp,11,2026-05-04 11:00:00,2026-05-04 13:00:00,0
113,ITT1B-G2,tp,5,2026-05-04 07:00:00,2026-05-04 09:00:00,0
114,ITT1B-G2,tp,12,2026-05-04 13:00:00,2026-05-04 15:00:00,0
115,ITT1B-G4,tp,3,2026-05-04 17:00:00,2026-05-04 19:00:00,0
116,ITT2A-G2,tp,11,2026-05-04 13:00:00,2026-05-04 15:00:00,0
117,ITT2A-G3,tp,4,2026-05-04 15:00:00,2026-05-04 17:00:00,0
118,ITT2A-G4,tp,8,2026-05-04 13:00:00,2026-05-04 15:00:00,0
119,ITT2A-G4,tp,16,2026-05-04 15:00:00,2026-05-04 17:00:00,0
120,ITT2B-G1,tp,2,2026-05-04 07:00:00,2026-05-04 09:00:00,0
121,ITT2B-G1,tp,13,2026-05-04 11:00:00,2026-05-04 13:00:00,0
122,ITT2B-G2,tp,2,2026-05-04 15:00:00,2026-05-04 17:00:00,0
123,ITT2B-G2,tp,6,2026-05-04 09:00:00,2026-05-04 11:00:00,0
124,ITT2B-G3,tp,9,2026-05-04 17:00:00,2026-05-04 19:00:00,0
125,ITT2B-G4,tp,11,2026-05-04 17:00:00,2026-05-04 19:00:00,0
126,ITT1A,cours,12,2026-05-05 09:00:00,2026-05-05 11:00:00,1
127,ITT1A,cours,1,2026-05-05 11:00:00,2026-05-05 13:00:00,1
128,ITT1A,cours,13,2026-05-05 15:00:00,2026-05-05 17:00:00,1
129,ITT1B,cours,1,2026-05-05 15:00:00,2026-05-05 17:00:00,1
130,ITT1B,cours,1,2026-05-05 17:00:00,2026-05-05 19:00:00,1
131,ITT2A,cours,1,2026-05-05 15:00:00,2026-05-05 17:00:00,1
132,ITT2A,cours,1,2026-05-05 09:00:00,2026-05-05 11:00:00,1
133,ITT2B,cours,5,2026-05-05 17:00:00,2026-05-05 19:00:00,1
134,ITT3RC,cours,15,2026-05-05 15:00:00,2026-05-05 17:00:00,1
135,ITT3IR,cours,1,2026-05-05 15:00:00,2026-05-05 17:00:00,1
136,ITT3IR,cours,1,2026-05-05 11:00:00,2026-05-05 13:00:00,1
137,IPT1,cours,1,2026-05-05 11:00:00,2026-05-05 13:00:00,1
138,IPT2,cours,1,2026-05-05 17:00:00,2026-05-05 19:00:00,1
139,IPT2,cours,12,2026-05-05 15:00:00,2026-05-05 17:00:00,1
140,ITT1A-G1,tp,16,2026-05-05 17:00:00,2026-05-05 19:00:00,1
141,ITT1A-G1,tp,8,2026-05-05 11:00:00,2026-05-05 13:00:00,1
142,ITT1A-G2,tp,4,2026-05-05 09:00:00,2026-05-05 11:00:00,1
143,ITT1A-G3,tp,9,2026-05-05 07:00:00,2026-05-05 09:00:00,1
144,ITT1A-G4,tp,2,2026-05-05 17:00:00,2026-05-05 19:00:00,1
145,ITT1A-G4,tp,17,2026-05-05 13:00:00,2026-05-05 15:00:00,1
146,ITT2A-G1,tp,11,2026-05-05 11:00:00,2026-05-05 13:00:00,1
147,ITT2A-G1,tp,13,2026-05-05 17:00:00,2026-05-05 19:00:00,1
148,ITT2A-G2,tp,15,2026-05-05 17:00:00,2026-05-05 19:00:00,1
149,ITT2A-G3,tp,13,2026-05-05 13:00:00,2026-05-05 15:00:00,1
150,ITT2A-G4,tp,17,2026-05-05 13:00:00,2026-05-05 15:00:00,1
151,ITT2A-G4,tp,11,2026-05-05 09:00:00,2026-05-05 11:00:00,1
152,ITT2B-G2,tp,7,2026-05-05 17:00:00,2026-05-05 19:00:00,1
153,ITT2B-G2,tp,9,2026-05-05 13:00:00,2026-05-05 15:00:00,1
154,ITT2B-G3,tp,17,2026-05-05 13:00:00,2026-05-05 15:00:00,1
155,ITT2B-G3,tp,16,2026-05-05 15:00:00,2026-05-05 17:00:00,1
156,ITT2B-G4,tp,10,2026-05-05 11:00:00,2026-05-05 13:00:00,1
157,ITT2B-G4,tp,5,2026-05-05 13:00:00,2026-05-05 15:00:00,1
158,ITT1A,cours,1,2026-05-06 09:00:00,2026-05-06 11:00:00,2
159,ITT1A,cours,1,2026-05-06 11:00:00,2026-05-06 13:00:00,2
160,ITT1B,cours,1,2026-05-06 11:00:00,2026-05-06 13:00:00,2
161,ITT1B,cours,15,2026-05-06 09:00:00,2026-05-06 11:00:00,2
162,ITT1B,cours,13,2026-05-06 07:00:00,2026-05-06 09:00:00,2
163,ITT2A,cours,1,2026-05-06 13:00:00,2026-05-06 15:00:00,2
164,ITT2A,cours,12,2026-05-06 15:00:00,2026-05-06 17:00:00,2
165,ITT2A,cours,1,2026-05-06 11:00:00,2026-05-06 13:00:00,2
166,ITT2B,cours,3,2026-05-06 15:00:00,2026-05-06 17:00:00,2
167,ITT2B,cours,6,2026-05-06 17:00:00,2026-05-06 19:00:00,2
168,ITT3RC,cours,1,2026-05-06 11:00:00,2026-05-06 13:00:00,2
169,ITT3RC,cours,14,2026-05-06 15:00:00,2026-05-06 17:00:00,2
170,ITT3IR,cours,12,2026-05-06 11:00:00,2026-05-06 13:00:00,2
171,IPT1,cours,6,2026-05-06 13:00:00,2026-05-06 15:00:00,2
172,IPT2,cours,1,2026-05-06 11:00:00,2026-05-06 13:00:00,2
173,IPT2,cours,13,2026-05-06 13:00:00,2026-05-06 15:00:00,2
174,ITT1A-G1,tp,5,2026-05-06 15:00:00,2026-05-06 17:00:00,2
175,ITT1A-G2,tp,7,2026-05-06 15:00:00,2026-05-06 17:00:00,2
176,ITT1A-G2,tp,14,2026-05-06 17:00:00,2026-05-06 19:00:00,2
177,ITT1A-G3,tp,7,2026-05-06 13:00:00,2026-05-06 15:00:00,2
178,ITT1A-G3,tp,14,2026-05-06 17:00:00,2026-05-06 19:00:00,2
179,ITT1A-G4,tp,15,2026-05-06 09:00:00,2026-05-06 11:00:00,2
180,ITT1B-G1,tp,6,2026-05-06 09:00:00,2026-05-06 11:00:00,2
181,ITT1B-G3,tp,14,2026-05-06 17:00:00,2026-05-06 19:00:00,2
182,ITT2A-G1,tp,15,2026-05-06 07:00:00,2026-05-06 09:00:00,2
183,ITT2A-G1,tp,10,2026-05-06 11:00:00,2026-05-06 13:00:00,2
184,ITT2A-G2,tp,3,2026-05-06 09:00:00,2026-05-06 11:00:00,2
185,ITT2A-G4,tp,10,2026-05-06 09:00:00,2026-05-06 11:00:00,2
186,ITT2B-G1,tp,12,2026-05-06 09:00:00,2026-05-06 11:00:00,2
187,ITT2B-G2,tp,16,2026-05-06 09:00:00,2026-05-06 11:00:00,2
188,ITT2B-G2,tp,10,2026-05-06 07:00:00,2026-05-06 09:00:00,2
189,ITT2B-G3,tp,6,2026-05-06 09:00:00,2026-05-06 11:00:00,2
190,ITT2B-G3,tp,17,2026-05-06 15:00:00,2026-05-06 17:00:00,2
191,ITT2B-G4,tp,2,2026-05-06 13:00:00,2026-05-06 15:00:00,2
192,ITT2B-G4,tp,16,2026-05-06 15:00:00,2026-05-06 17:00:00,2
193,ITT1A,cours,1,2026-05-08 17:00:00,2026-05-08 19:00:00,4
194,ITT1B,cours,1,2026-05-08 09:00:00,2026-05-08 11:00:00,4
195,ITT1B,cours,1,2026-05-08 15:00:00,2026-05-08 17:00:00,4
196,ITT1B,cours,1,2026-05-08 07:00:00,2026-05-08 09:00:00,4
197,ITT2A,cours,1,2026-05-08 07:00:00,2026-05-08 09:00:00,4
198,ITT2B,cours,1,2026-05-08 11:00:00,2026-05-08 13:00:00,4
199,ITT3RC,cours,1,2026-05-08 13:00:00,2026-05-08 15:00:00,4
200,ITT3RC,cours,1,2026-05-08 07:00:00,2026-05-08 09:00:00,4
201,ITT3RC,cours,17,2026-05-08 17:00:00,2026-05-08 19:00:00,4
202,ITT3IR,cours,1,2026-05-08 17:00:00,2026-05-08 19:00:00,4
203,ITT3IR,cours,1,2026-05-08 09:00:00,2026-05-08 11:00:00,4
204,ITT3IR,cours,12,2026-05-08 13:00:00,2026-05-08 15:00:00,4
205,IPT1,cours,1,2026-05-08 13:00:00,2026-05-08 15:00:00,4
206,IPT2,cours,1,2026-05-08 11:00:00,2026-05-08 13:00:00,4
207,ITT1A-G2,tp,3,2026-05-08 15:00:00,2026-05-08 17:00:00,4
208,ITT1A-G3,tp,17,2026-05-08 15:00:00,2026-05-08 17:00:00,4
209,ITT1A-G4,tp,3,2026-05-08 17:00:00,2026-05-08 19:00:00,4
210,ITT1B-G1,tp,12,2026-05-08 17:00:00,2026-05-08 19:00:00,4
211,ITT1B-G2,tp,14,2026-05-08 17:00:00,2026-05-08 19:00:00,4
212,ITT1B-G3,tp,14,2026-05-08 17:00:00,2026-05-08 19:00:00,4
213,ITT2A-G1,tp,13,2026-05-08 17:00:00,2026-05-08 19:00:00,4
214,ITT2A-G1,tp,8,2026-05-08 13:00:00,2026-05-08 15:00:00,4
215,ITT2A-G3,tp,12,2026-05-08 15:00:00,2026-05-08 17:00:00,4
216,ITT2A-G4,tp,4,2026-05-08 11:00:00,2026-05-08 13:00:00,4
217,ITT2A-G4,tp,17,2026-05-08 09:00:00,2026-05-08 11:00:00,4
218,ITT2B-G1,tp,13,2026-05-08 09:00:00,2026-05-08 11:00:00,4
219,ITT2B-G2,tp,15,2026-05-08 13:00:00,2026-05-08 15:00:00,4
220,ITT2B-G2,tp,4,2026-05-08 15:00:00,2026-05-08 17:00:00,4
221,ITT2B-G4,tp,17,2026-05-08 15:00:00,2026-05-08 17:00:00,4
222,ITT1A,cours,13,2026-05-09 13:00:00,2026-05-09 15:00:00,5
223,ITT1A,cours,15,2026-05-09 09:00:00,2026-05-09 11:00:00,5
224,ITT1A,cours,5,2026-05-09 11:00:00,2026-05-09 13:00:00,5
225,ITT1B,cours,3,2026-05-09 13:00:00,2026-05-09 15:00:00,5
226,ITT1B,cours,16,2026-05-09 09:00:00,2026-05-09 11:00:00,5
227,ITT2A,cours,13,2026-05-09 17:00:00,2026-05-09 19:00:00,5
228,ITT2B,cours,1,2026-05-09 13:00:00,2026-05-09 15:00:00,5
229,ITT2B,cours,1,2026-05-09 11:00:00,2026-05-09 13:00:00,5
230,ITT2B,cours,1,2026-05-09 07:00:00,2026-05-09 09:00:00,5
231,ITT3RC,cours,6,2026-05-09 07:00:00,2026-05-09 09:00:00,5
232,ITT3IR,cours,1,2026-05-09 09:00:00,2026-05-09 11:00:00,5
233,IPT1,cours,1,2026-05-09 09:00:00,2026-05-09 11:00:00,5
234,IPT2,cours,6,2026-05-09 11:00:00,2026-05-09 13:00:00,5
235,IPT2,cours,1,2026-05-09 15:00:00,2026-05-09 17:00:00,5
236,ITT1A-G1,tp,3,2026-05-09 07:00:00,2026-05-09 09:00:00,5
237,ITT1A-G2,tp,17,2026-05-09 17:00:00,2026-05-09 19:00:00,5
238,ITT1A-G2,tp,4,2026-05-09 07:00:00,2026-05-09 09:00:00,5
239,ITT1A-G3,tp,8,2026-05-09 17:00:00,2026-05-09 19:00:00,5
240,ITT1A-G3,tp,7,2026-05-09 13:00:00,2026-05-09 15:00:00,5
241,ITT1A-G4,tp,2,2026-05-09 17:00:00,2026-05-09 19:00:00,5
242,ITT1A-G4,tp,16,2026-05-09 11:00:00,2026-05-09 13:00:00,5
243,ITT1B-G1,tp,6,2026-05-09 17:00:00,2026-05-09 19:00:00,5
244,ITT1B-G1,tp,15,2026-05-09 13:00:00,2026-05-09 15:00:00,5
245,ITT1B-G2,tp,6,2026-05-09 15:00:00,2026-05-09 17:00:00,5
246,ITT1B-G2,tp,8,2026-05-09 09:00:00,2026-05-09 11:00:00,5
247,ITT2A-G2,tp,15,2026-05-09 07:00:00,2026-05-09 09:00:00,5
248,ITT2A-G3,tp,2,2026-05-09 13:00:00,2026-05-09 15:00:00,5
249,ITT2A-G3,tp,15,2026-05-09 07:00:00,2026-05-09 09:00:00,5
250,ITT2B-G1,tp,13,2026-05-09 07:00:00,2026-05-09 09:00:00,5
251,ITT2B-G1,tp,16,2026-05-09 09:00:00,2026-05-09 11:00:00,5
252,ITT2B-G2,tp,5,2026-05-09 17:00:00,2026-05-09 19:00:00,5
253,ITT2B-G3,tp,14,2026-05-09 13:00:00,2026-05-09 15:00:00,5
254,ITT2B-G4,tp,17,2026-05-09 07:00:00,2026-05-09 09:00:00,5
255,ITT2B-G4,tp,12,2026-05-09 09:00:00,2026-05-09 11:00:00,5
256,ITT1A,cours,1,2026-05-10 09:00:00,2026-05-10 11:00:00,6
257,ITT1A,cours,1,2026-05-10 11:00:00,2026-05-10 13:00:00,6
258,ITT1B,cours,1,2026-05-10 07:00:00,2026-05-10 09:00:00,6
259,ITT2A,cours,14,2026-05-10 07:00:00,2026-05-10 09:00:00,6
260,ITT2A,cours,6,2026-05-10 13:00:00,2026-05-10 15:00:00,6
261,ITT2A,cours,1,2026-05-10 11:00:00,2026-05-10 13:00:00,6
262,ITT2B,cours,4,2026-05-10 09:00:00,2026-05-10 11:00:00,6
263,ITT2B,cours,3,2026-05-10 13:00:00,2026-05-10 15:00:00,6
264,ITT2B,cours,14,2026-05-10 15:00:00,2026-05-10 17:00:00,6
265,ITT3RC,cours,14,2026-05-10 07:00:00,2026-05-10 09:00:00,6
266,ITT3RC,cours,1,2026-05-10 11:00:00,2026-05-10 13:00:00,6
267,ITT3IR,cours,1,2026-05-10 07:00:00,2026-05-10 09:00:00,6
268,ITT3IR,cours,1,2026-05-10 17:00:00,2026-05-10 19:00:00,6
269,IPT1,cours,1,2026-05-10 13:00:00,2026-05-10 15:00:00,6
270,IPT1,cours,1,2026-05-10 09:00:00,2026-05-10 11:00:00,6
271,IPT2,cours,12,2026-05-10 17:00:00,2026-05-10 19:00:00,6
272,IPT2,cours,3,2026-05-10 13:00:00,2026-05-10 15:00:00,6
273,IPT2,cours,1,2026-05-10 07:00:00,2026-05-10 09:00:00,6
274,ITT1A-G1,tp,13,2026-05-10 11:00:00,2026-05-10 13:00:00,6
275,ITT1A-G1,tp,16,2026-05-10 07:00:00,2026-05-10 09:00:00,6
276,ITT1A-G2,tp,4,2026-05-10 11:00:00,2026-05-10 13:00:00,6
277,ITT1B-G1,tp,2,2026-05-10 09:00:00,2026-05-10 11:00:00,6
278,ITT1B-G2,tp,8,2026-05-10 11:00:00,2026-05-10 13:00:00,6
279,ITT1B-G3,tp,17,2026-05-10 13:00:00,2026-05-10 15:00:00,6
280,ITT2A-G1,tp,3,2026-05-10 15:00:00,2026-05-10 17:00:00,6
281,ITT2A-G2,tp,4,2026-05-10 11:00:00,2026-05-10 13:00:00,6
282,ITT2A-G4,tp,12,2026-05-10 15:00:00,2026-05-10 17:00:00,6
283,ITT2B-G2,tp,5,2026-05-10 09:00:00,2026-05-10 11:00:00,6
284,ITT2B-G2,tp,14,2026-05-10 13:00:00,2026-05-10 15:00:00,6
285,ITT2B-G3,tp,16,2026-05-10 09:00:00,2026-05-10 11:00:00,6
286,ITT1A,cours,1,2026-05-11 17:00:00,2026-05-11 19:00:00,0
287,ITT1A,cours,1,2026-05-11 15:00:00,2026-05-11 17:00:00,0
288,ITT1B,cours,17,2026-05-11 11:00:00,2026-05-11 13:00:00,0
289,ITT2A,cours,12,2026-05-11 13:00:00,2026-05-11 15:00:00,0
290,ITT2A,cours,3,2026-05-11 15:00:00,2026-05-11 17:00:00,0
291,ITT2A,cours,3,2026-05-11 09:00:00,2026-05-11 11:00:00,0
292,ITT2B,cours,1,2026-05-11 17:00:00,2026-05-11 19:00:00,0
293,ITT2B,cours,1,2026-05-11 07:00:00,2026-05-11 09:00:00,0
294,ITT3RC,cours,1,2026-05-11 15:00:00,2026-05-11 17:00:00,0
295,ITT3IR,cours,1,2026-05-11 07:00:00,2026-05-11 09:00:00,0
296,ITT3IR,cours,1,2026-05-11 13:00:00,2026-05-11 15:00:00,0
297,IPT1,cours,17,2026-05-11 17:00:00,2026-05-11 19:00:00,0
298,IPT2,cours,5,2026-05-11 13:00:00,2026-05-11 15:00:00,0
299,ITT1A-G1,tp,3,2026-05-11 07:00:00,2026-05-11 09:00:00,0
300,ITT1A-G1,tp,5,2026-05-11 13:00:00,2026-05-11 15:00:00,0
301,ITT1A-G3,tp,3,2026-05-11 17:00:00,2026-05-11 19:00:00,0
302,ITT1A-G3,tp,16,2026-05-11 13:00:00,2026-05-11 15:00:00,0
303,ITT1A-G4,tp,4,2026-05-11 13:00:00,2026-05-11 15:00:00,0
304,ITT1A-G4,tp,16,2026-05-11 15:00:00,2026-05-11 17:00:00,0
305,ITT1B-G1,tp,12,2026-05-11 09:00:00,2026-05-11 11:00:00,0
306,ITT1B-G1,tp,17,2026-05-11 17:00:00,2026-05-11 19:00:00,0
307,ITT1B-G2,tp,3,2026-05-11 17:00:00,2026-05-11 19:00:00,0
308,ITT1B-G3,tp,14,2026-05-11 15:00:00,2026-05-11 17:00:00,0
309,ITT1B-G4,tp,15,2026-05-11 11:00:00,2026-05-11 13:00:00,0
310,ITT1B-G4,tp,8,2026-05-11 07:00:00,2026-05-11 09:00:00,0
311,ITT2A-G1,tp,17,2026-05-11 13:00:00,2026-05-11 15:00:00,0
312,ITT2A-G1,tp,2,2026-05-11 09:00:00,2026-05-11 11:00:00,0
313,ITT2A-G3,tp,6,2026-05-11 09:00:00,2026-05-11 11:00:00,0
314,ITT2A-G3,tp,6,2026-05-11 15:00:00,2026-05-11 17:00:00,0
315,ITT2A-G4,tp,12,2026-05-11 13:00:00,2026-05-11 15:00:00,0
316,ITT2A-G4,tp,12,2026-05-11 09:00:00,2026-05-11 11:00:00,0
317,ITT2B-G2,tp,3,2026-05-11 07:00:00,2026-05-11 09:00:00,0
318,ITT2B-G2,tp,6,2026-05-11 17:00:00,2026-05-11 19:00:00,0
319,ITT2B-G3,tp,14,2026-05-11 13:00:00,2026-05-11 15:00:00,0
320,ITT1A,cours,15,2026-05-12 15:00:00,2026-05-12 17:00:00,1
321,ITT1A,cours,1,2026-05-12 11:00:00,2026-05-12 13:00:00,1
322,ITT1A,cours,13,2026-05-12 13:00:00,2026-05-12 15:00:00,1
323,ITT1B,cours,1,2026-05-12 09:00:00,2026-05-12 11:00:00,1
324,ITT1B,cours,14,2026-05-12 15:00:00,2026-05-12 17:00:00,1
325,ITT2A,cours,1,2026-05-12 09:00:00,2026-05-12 11:00:00,1
326,ITT2A,cours,16,2026-05-12 11:00:00,2026-05-12 13:00:00,1
327,ITT2A,cours,15,2026-05-12 17:00:00,2026-05-12 19:00:00,1
